name,customer_avg_amout_1_day,customer_avg_amount_7_day,customer_avg_amount_30_day,merchant_num_trans_1_day,merchant_num_trans_7_day,merchant_num_trans_30_day,merchant_risk_1_day,merchant_risk_7_day,merchant_risk_30_day,merchant_risk_90_day,combined_anomaly_score,per_field_anomaly,combined_anomaly,is_anomaly,customer_avg_amout_1_day_z,customer_avg_amount_7_day_z,customer_avg_amount_30_day_z,merchant_num_trans_1_day_z,merchant_num_trans_7_day_z,merchant_num_trans_30_day_z,merchant_risk_1_day_z,merchant_risk_7_day_z,merchant_risk_30_day_z,merchant_risk_90_day_z,combined_abs_z,flag_per_field,flag_combined
Peter Drake,63.1375,52.77375,32.65125,2162.7675,36056.74625,477238.7138,2.375,6.75,12.25,31.875,35.20523232,TRUE,TRUE,TRUE,5.430501387,2.341632903,-1.200420777,-2.209470371,-4.224551642,-2.034947309,-4.01279585,-5.452174148,-6.761472314,1.537265615,35.20523232,TRUE,TRUE
Debbie Yang,25.87428571,57.97428571,28.26428571,1505.475714,55360.84571,390299.7729,3.428571429,10.85714286,17.71428571,35,34.91735876,TRUE,TRUE,TRUE,-6.009434215,4.025554305,-3.030448372,-5.951776096,1.416694358,-4.31164366,-0.254120327,3.501286585,2.749037724,3.667363123,34.91735876,TRUE,TRUE
Mark Jackson,22.65714286,62.94,30.52142857,2791.901429,35740.00857,528537.5443,2.428571429,10.28571429,14.71428571,37.14285714,34.77831164,TRUE,TRUE,TRUE,-6.997108193,5.633441073,-2.088878428,1.372517953,-4.317112042,-0.691569312,-3.821676756,2.255587701,-2.472418767,5.128001414,34.77831164,TRUE,TRUE
Cheyenne Kaiser,32.65571429,23.74714286,29.13714286,2282.705714,42115.62857,339080.1086,2.571428571,8.142857143,18,33.14285714,34.66007671,TRUE,TRUE,TRUE,-3.9275122,-7.057115163,-2.666334932,-1.526599422,-2.453961632,-5.652948506,-3.312025837,-2.415783116,3.246319294,2.401476604,34.66007671,TRUE,TRUE
Cory Rios,33.43444444,53.75444444,29.08333333,2675.486667,38674.81778,668011.19,2.333333333,6.888888889,14.22222222,38.11111111,34.59413479,TRUE,TRUE,TRUE,-3.688439349,2.65917949,-2.688781642,0.70970786,-3.459471377,2.96086925,-4.161444035,-5.149400113,-3.328848139,5.787993531,34.59413479,TRUE,TRUE
Julie Gilmore,63.91,35.76,46.73857143,2622.422857,31333.83429,687148.8914,2.285714286,7.285714286,14.57142857,30,34.58144235,TRUE,TRUE,TRUE,5.667661558,-3.167379884,4.676122839,0.407587854,-5.60473041,3.462034027,-4.331327674,-4.284331443,-2.721059553,0.25920711,34.58144235,TRUE,TRUE
David Mcpherson,59.72857143,45.88142857,27.19142857,1830.72,72351.37,712348.3657,2.714285714,10.42857143,16,39,34.57355663,TRUE,TRUE,TRUE,4.383948532,0.109915211,-3.477992061,-4.099990361,6.381843202,4.121940285,-2.802374919,2.567012422,-0.2346517,6.393887934,34.57355663,TRUE,TRUE
Joseph Saunders,42.0775,40.9775,50.19875,2168.95875,63967.8,632158.2088,5.125,8,14.375,20.5,34.56502499,TRUE,TRUE,TRUE,-1.034991415,-1.477965486,6.119540624,-2.174220349,3.931908627,2.021976381,5.79798433,-2.727207838,-3.062940632,-6.216289314,34.56502499,TRUE,TRUE
Joshua Mccormick,58.12285714,39.81,16.83714286,2717.37,32886.54857,391945.5043,5,8.857142857,18.28571429,29.14285714,34.19132948,TRUE,TRUE,TRUE,3.890988695,-1.855999278,-7.797295195,0.94817157,-5.15097999,-4.268546393,5.352039776,-0.858659511,3.743600865,-0.325048206,34.19132948,TRUE,TRUE
Kimberly Warner,49.31857143,47.36857143,14.51857143,2391.342857,33159.02571,469290.8157,3.428571429,7.285714286,18.28571429,19.14285714,34.18990074,TRUE,TRUE,TRUE,1.188042545,0.591448619,-8.764490144,-0.908071379,-5.071353867,-2.24308132,-0.254120327,-4.284331443,3.743600865,-7.141360232,34.18990074,TRUE,TRUE
Paige Lowe,58.35125,53.235,24.45875,3696.32125,39363.6325,703225.0937,2.75,8.625,14,27.125,34.18887305,TRUE,TRUE,TRUE,3.961106092,2.490984584,-4.617932318,6.521852767,-3.258178729,3.883026402,-2.674962189,-1.364724683,-3.715622694,-1.700482597,34.18887305,TRUE,TRUE
Christopher Holmes,41.07,63.40142857,18.87285714,2102.894286,22501.89143,691480.7343,4.142857143,9.142857143,17.71428571,30.28571429,34.11970975,TRUE,TRUE,TRUE,-1.344297398,5.782850574,-6.948094455,-2.550359878,-8.185693195,3.575473307,2.294134265,-0.235810068,2.749037724,0.453958883,34.11970975,TRUE,TRUE
Susan White,35.69857143,56.00428571,43.69857143,1709.751429,53382.79143,802494.4757,3.571428571,7.571428571,19.57142857,32.28571429,33.61460034,TRUE,TRUE,TRUE,-2.993344538,3.387672875,3.407983066,-4.788727672,0.83864663,6.482623744,0.255530592,-3.661482001,5.981367933,1.817221288,33.61460034,TRUE,TRUE
Nicole Silva,51.85,41.7975,40.39375,3804.645,68498.05625,472268.5775,4.5,9,19.375,24.25,33.18166527,TRUE,TRUE,TRUE,1.965199867,-1.212451388,2.029372706,7.1385965,5.255787526,-2.165101771,3.568261561,-0.54723479,5.639486853,-3.660172304,33.18166527,TRUE,TRUE
Shawn Tucker,46.206,65.329,40.923,2091.131,60965.303,664319.63,2.1,7.4,13.4,32.5,33.17789992,TRUE,TRUE,TRUE,0.232472356,6.406993732,2.250150001,-2.617334412,3.054487527,2.864197251,-4.993873868,-4.035191666,-4.759913992,1.963285117,33.17789992,TRUE,TRUE
Anthony Nelson,36.43285714,36.51142857,21.41857143,1873.347143,38220.83286,665487.7571,3.142857143,9.857142857,16,41.85714286,33.09314368,TRUE,TRUE,TRUE,-2.767916286,-2.924069055,-5.886146581,-3.857291754,-3.592139602,2.89478735,-1.273422164,1.321313537,-0.2346517,8.341405655,33.09314368,TRUE,TRUE
Crystal Lewis,51.45125,48.15375,40.505,1059.0125,38741.41375,630313.1688,3.125,9,11.25,35.25,32.89573701,TRUE,TRUE,TRUE,1.842782239,0.845687619,2.075780782,-8.493724556,-3.440010005,1.973659761,-1.337128529,-0.54723479,-8.501957811,3.837770924,32.89573701,TRUE,TRUE
Patricia Montgomery,34.502,39.022,48.75,2225.93,43519.07,691224.389,2.3,7.2,15.3,23.4,32.89358679,TRUE,TRUE,TRUE,-3.360696103,-2.11115185,5.515192763,-1.849853242,-2.043833288,3.568760316,-4.280362583,-4.471186276,-1.452991548,-4.239558826,32.89358679,TRUE,TRUE
Annette Rivas,36.50625,28.69,22.0675,2277.0875,45555.89,452524.8063,2.875,8,19.5,33.375,32.87978173,TRUE,TRUE,TRUE,-2.745384425,-5.456629485,-5.615445223,-1.558586852,-1.448612429,-2.682137882,-2.229017636,-2.727207838,5.85704754,2.559712419,32.87978173,TRUE,TRUE
Rachel Jones,68.613,34.352,33.575,3143.678,62676.253,604331.415,4.9,10.5,17.9,26.3,32.82608397,TRUE,TRUE,TRUE,7.111498816,-3.623287018,-0.815077318,3.37536586,3.554479244,1.293267714,4.995284133,2.722724783,3.072270745,-2.262828339,32.82608397,TRUE,TRUE
Danielle Kelley,68.79375,33.27125,34.82625,2618.2225,54960.8225,844163.5075,4.125,11.25,16,37.375,32.79965098,TRUE,TRUE,TRUE,7.166989691,-3.973231361,-0.293116828,0.383673025,1.299795387,7.573823287,2.2304279,4.357704569,-0.2346517,5.286237229,32.79965098,TRUE,TRUE
Sharon Parker,50.175,66.60375,45.44125,3437.5,35419.3,615713.34,4.625,9.5,15.5,35,32.7852935,TRUE,TRUE,TRUE,1.450969077,6.819754825,4.134943595,5.048248096,-4.410832857,1.591329628,4.014206115,0.542751735,-1.104894448,3.667363123,32.7852935,TRUE,TRUE
Courtney Garcia,49.5325,27.15375,33.475,3160.25,37579.1875,440747.8938,2.25,8.125,19.25,32.75,32.77355646,TRUE,TRUE,TRUE,1.253719356,-5.954063672,-0.856792442,3.469718919,-3.779647925,-2.990543453,-4.458740404,-2.454711207,5.421926166,2.133692917,32.77355646,TRUE,TRUE
Rhonda Johnson,33.25285714,33.22285714,34.81,3162.585714,41565.07429,591692.8314,4.285714286,8,11.85714286,22.85714286,32.67896339,TRUE,TRUE,TRUE,-3.744187279,-3.988900856,-0.299895535,3.483017361,-2.614850368,0.962297302,2.803785184,-2.727207838,-7.445234473,-4.609587194,32.67896339,TRUE,TRUE
Austin Hale,68.83833333,35.07083333,39.96,3114.995,50195.59417,513105.0342,5.666666667,9.75,14.58333333,23.41666667,32.56684744,TRUE,TRUE,TRUE,7.180676928,-3.390530452,1.848433356,3.212058547,-0.092749514,-1.095705124,7.730410729,1.087744997,-2.700339487,-4.228198306,32.56684744,TRUE,TRUE
Michelle Wolf,48.70571429,52.52428571,45.16714286,2911.037143,49297.30429,757487.0243,4.714285714,6.714285714,14.85714286,21.57142857,32.56394314,TRUE,TRUE,TRUE,0.999893284,2.260856946,4.02059946,2.050819851,-0.355257185,5.303999995,4.332737939,-5.530030328,-2.223777982,-5.485970168,32.56394314,TRUE,TRUE
Elizabeth Brooks,44.32142857,45.69,19.06285714,2438.057143,49457.70143,771102.6586,2.285714286,6.428571429,13.42857143,34.42857143,32.34616076,TRUE,TRUE,TRUE,-0.346097587,0.047931084,-6.868835719,-0.642102531,-0.308384253,5.66055673,-4.331327674,-6.15287977,-4.710185835,3.277859579,32.34616076,TRUE,TRUE
Madeline Cruz,42.25444444,51.08666667,48.01888889,2886.41,80739.65778,468132.6578,2.222222222,7.444444444,15.11111111,28.11111111,32.30961999,TRUE,TRUE,TRUE,-0.980668859,1.795359233,5.210208856,1.910604653,8.833156456,-2.273410352,-4.557839194,-3.938303975,-1.781749919,-1.028318494,32.30961999,TRUE,TRUE
Timothy Turner,57.787,28.069,37.854,2198.77,40883.485,486870.429,4.3,7.5,19,24.4,32.23341664,TRUE,TRUE,TRUE,3.787879391,-5.657707845,0.969912842,-2.004489319,-2.814031523,-1.782718667,2.854750276,-3.817194362,4.986804792,-3.557927624,32.23341664,TRUE,TRUE
Chelsey Day,49.892,55.291,17.6,1692.263,37355.6,535016.346,2.7,7.9,13.3,29.9,32.1786122,TRUE,TRUE,TRUE,1.364087099,3.156712615,-7.479068391,-4.888298438,-3.844987004,-0.521906971,-2.853340011,-2.945205142,-4.933962542,0.19104399,32.1786122,TRUE,TRUE
Elizabeth Hamilton,31.74272727,29.5,33.64090909,2992.957273,54834.62,610224.0845,2.545454545,7.454545455,16.90909091,41.45454545,32.1530332,TRUE,TRUE,TRUE,-4.207802369,-5.194353364,-0.787583259,2.517233973,1.262915171,1.447580834,-3.404689641,-3.916284046,1.347607843,8.066982703,32.1530332,TRUE,TRUE
Jennifer Martinez,59.138,50.855,33.588,3187.879,55453.998,603585.768,1.3,6,14.2,30.6,32.04810867,TRUE,TRUE,TRUE,4.202641061,1.720346104,-0.809654352,3.627025258,1.443916293,1.27374123,-7.847919012,-7.087153934,-3.367525594,0.668185832,32.04810867,TRUE,TRUE
Casey Hayden,38.5,37.49222222,21.27666667,3892.135556,52269.31556,745272.2711,3.333333333,7.777777778,14.11111111,30.77777778,31.93637257,TRUE,TRUE,TRUE,-2.133296283,-2.606490346,-5.945342329,7.636725967,0.513255056,4.984128558,-0.593887606,-3.211646293,-3.522235416,0.789364712,31.93637257,TRUE,TRUE
Brandon Rich,64.8125,59.75625,30.8225,1906.75,36097.74875,354550.0888,3.25,8.75,16.125,23.375,31.89518388,TRUE,TRUE,TRUE,5.944732178,4.602550208,-1.963286108,-3.667111828,-4.212569462,-5.247831454,-0.891183975,-1.092228052,-0.017091012,-4.256599607,31.89518388,TRUE,TRUE
Brittany Hutchinson,38.12083333,72.00166667,40.66416667,2194.905833,46459.9725,581174.6642,5.583333333,11,16.08333333,35,31.86002376,TRUE,TRUE,TRUE,-2.24970176,8.567587721,2.142177354,-2.02649004,-1.184411978,0.686854873,7.433114359,3.812711307,-0.089611242,3.667363123,31.86002376,TRUE,TRUE
Nicole Huff,37.45555556,31.20777778,36.99444444,3307.81,42286.43778,553873.2467,3.333333333,12.11111111,18.55555556,38.88888889,31.80886612,TRUE,TRUE,TRUE,-2.453944338,-4.641378881,0.611348176,4.309855133,-2.404045978,-0.028095608,-0.593887606,6.234903582,4.213255682,6.318151133,31.80886612,TRUE,TRUE
Donald Lewis,34.62857143,33.38142857,45.01714286,2925.014286,50650.03714,459626.9257,4.714285714,11,18.57142857,24.42857143,31.80880907,TRUE,TRUE,TRUE,-3.321838237,-3.937555795,3.958026774,2.130399032,0.040052569,-2.496152531,4.332737939,3.812711307,4.240882436,-3.538452447,31.80880907,TRUE,TRUE
Kristi Boyd,55.31285714,60.27714286,51.83571429,2390.128571,59444.72714,490495.3371,3,6.857142857,13.42857143,30,31.78590301,TRUE,TRUE,TRUE,3.028308981,4.771214107,6.802402307,-0.914984942,2.610128934,-1.687792101,-1.783073082,-5.218605607,-4.710185835,0.25920711,31.78590301,TRUE,TRUE
Robert Greene,54.26272727,56.01727273,25.96,3081.546364,47197.50818,725786.7055,2.909090909,7.454545455,19,26.36363636,31.78376829,TRUE,TRUE,TRUE,2.705915481,3.391878039,-3.991684017,3.021617976,-0.968881581,4.473854154,-2.107396394,-3.916284046,4.986804792,-2.219451808,31.78376829,TRUE,TRUE
Mark Lucas,44.83625,32.41,47.14375,1517.04,56151.48375,462063.7825,4.625,7.5,17.5,32.75,31.59247654,TRUE,TRUE,TRUE,-0.188045629,-4.252102113,4.845143582,-5.885934572,1.64774288,-2.432337825,4.014206115,-3.817194362,2.376076546,2.133692917,31.59247654,TRUE,TRUE
Erin Thompson,60.06555556,36.17777778,49.10666667,2842.842222,37851.85667,504485.46,4.222222222,8.666666667,12.33333333,27.77777778,31.59055655,TRUE,TRUE,TRUE,4.487403824,-3.032104408,5.663976706,1.66255052,-3.699965687,-1.321428521,2.577273664,-1.273892472,-6.616431855,-1.255528895,31.59055655,TRUE,TRUE
Jerome Stewart,52.34363636,50.07181818,23.18090909,2090.847273,25566.63909,478614.0109,4.818181818,9.545454545,17.36363636,24.72727273,31.46126969,TRUE,TRUE,TRUE,2.116747937,1.466753648,-5.150985239,-2.61894982,-7.290080555,-1.998931986,4.703393152,0.641841419,2.138737615,-3.334848321,31.46126969,TRUE,TRUE
Jennifer Case,33.31857143,54.21714286,32.89142857,1986.132857,29733.52143,851695.1557,3.714285714,10,15.71428571,24.28571429,31.45751543,TRUE,TRUE,TRUE,-3.724012766,2.809000163,-1.100229987,-3.215143726,-6.072390584,7.771056838,0.76518151,1.632738259,-0.73193327,-3.635828333,31.45751543,TRUE,TRUE
Tara Willis,54.18428571,54.74,30.40571429,2688.897143,41487.49857,592185.4457,4.142857143,8,12.42857143,41,31.42522491,TRUE,TRUE,TRUE,2.681833651,2.978300093,-2.137148786,0.786060711,-2.637520355,0.975197541,2.294134265,-2.727207838,-6.450671332,7.757150339,31.42522491,TRUE,TRUE
Kenneth French,38.74,55.804,43.857,1922.795,54129.496,466216.72,3.3,7.3,13,37.2,31.40176241,TRUE,TRUE,TRUE,-2.059615453,3.322820825,3.474071741,-3.575759255,1.056856456,-2.323583594,-0.712806153,-4.253188971,-5.456108191,5.166951769,31.40176241,TRUE,TRUE
Cindy Elliott,66.07571429,40.47857143,42.84428571,3021.487143,30728.15714,525016.0443,3,9.857142857,17.85714286,22.28571429,31.37001838,TRUE,TRUE,TRUE,6.33254333,-1.6395174,3.05161672,2.679669437,-5.781727725,-0.783787898,-1.783073082,1.321313537,2.997678509,-4.999090738,31.37001838,TRUE,TRUE
Justin White,62.70142857,59.76,36.66142857,2209.741429,34858.07714,693577.19,3.714285714,8.714285714,18.71428571,23.28571429,31.26230543,TRUE,TRUE,TRUE,5.296625951,4.603764449,0.472430191,-1.942023241,-4.574839275,3.630373827,0.76518151,-1.170084232,4.489523221,-4.317459535,31.26230543,TRUE,TRUE
Michelle Noble,27.91666667,38.80666667,41.29666667,2190.094444,73026.08444,627660.3767,4.444444444,10.11111111,13.77777778,31.66666667,31.24908523,TRUE,TRUE,TRUE,-5.382416202,-2.180876284,2.406025514,-2.053883792,6.579015319,1.904190292,3.370063982,1.874957486,-4.102397249,1.395259115,31.24908523,TRUE,TRUE
Russell Jacobs,65.67625,53.48,39.53,3705.52,56026.9625,698168.36,3.375,11.125,18.5,29.875,31.20647658,TRUE,TRUE,TRUE,6.209906414,2.570315015,1.669058322,6.574226059,1.611353977,3.750604185,-0.445239421,4.085207938,4.116562043,0.17400321,31.20647658,TRUE,TRUE
Christopher Tate,55.05142857,54.49571429,28.96857143,3522.087143,69855.21143,508939.3757,3.714285714,7.428571429,15.42857143,23.42857143,31.1583209,TRUE,TRUE,TRUE,2.948049506,2.899200945,-2.736654713,5.529846917,5.652389618,-1.204792482,0.76518151,-3.972906722,-1.229214841,-4.220083649,31.1583209,TRUE,TRUE
Ronald Wilson,51.02285714,59.84142857,34.07,3297.1,40306.47571,463356.3114,3.285714286,8.428571429,12.57142857,38.14285714,31.14836922,TRUE,TRUE,TRUE,1.711264151,4.630130832,-0.608587453,4.248877505,-2.982651216,-2.398489979,-0.763771245,-1.792933674,-6.202030547,5.809632617,31.14836922,TRUE,TRUE
Mandy Edwards,47.86454545,63.22272727,42.49181818,1617.623636,53233.82273,633235.5027,5.181818182,10.72727273,18.09090909,28.18181818,31.1333113,TRUE,TRUE,TRUE,0.741651544,5.724987508,2.904584452,-5.313259352,0.795113437,2.050187805,6.000686399,3.218173203,3.404545249,-0.980122349,31.1333113,TRUE,TRUE
Aaron Smith,60.64,51.20428571,26.01571429,2692.571429,52927.03,320897.7271,5.285714286,9.571428571,18.85714286,27.85714286,31.11658352,TRUE,TRUE,TRUE,4.663760254,1.833444008,-3.968442734,0.80698034,0.705459255,-6.12909603,6.371341613,0.698464095,4.738164006,-1.201431181,31.11658352,TRUE,TRUE
Brian Myers,26.09125,38.9875,45.41375,2772.84625,61433.03375,534787.0288,2.625,7.75,14.375,36.125,31.06197867,TRUE,TRUE,TRUE,-5.942825429,-2.12232287,4.123471936,1.264026861,3.191172702,-0.527912171,-3.120906743,-3.2722011,-3.062940632,4.434198226,31.06197867,TRUE,TRUE
Lisa Massey,24.3125,32.1725,40.27,1708.7,63141.9725,586966.5913,4.5,8.625,17.25,26.625,31.03472224,TRUE,TRUE,TRUE,-6.488907828,-4.329004063,1.97775024,-4.794714005,3.690576671,0.83852982,3.568261561,-1.364724683,1.940955172,-2.041298198,31.03472224,TRUE,TRUE
Kristine Walsh,24.61285714,44.89142857,32.07285714,1520.8,49654.09429,609122.6929,3.714285714,10.42857143,13.42857143,40.42857143,30.99332383,TRUE,TRUE,TRUE,-6.396697147,-0.210644492,-1.441698075,-5.864526926,-0.250992277,1.418738357,0.76518151,2.567012422,-4.710185835,7.367646794,30.99332383,TRUE,TRUE
Brian Anderson,33.19285714,43.8,42.61,2353.174286,56342.40714,758840.9029,2.142857143,8.428571429,14,22,30.99229158,TRUE,TRUE,TRUE,-3.762607486,-0.564046532,2.953884144,-1.125385008,1.703536512,5.339454423,-4.840978593,-1.792933674,-3.715622694,-5.19384251,30.99229158,TRUE,TRUE
Margaret Lyons,49.20909091,66.02818182,44.67545455,3009.734545,46871.26727,626525.2064,2.909090909,9.909090909,18.72727273,38.09090909,30.98305343,TRUE,TRUE,TRUE,1.154431647,6.633387183,3.815491071,2.612755756,-1.064219114,1.874463243,-2.107396394,1.434558891,4.512126929,5.774223204,30.98305343,TRUE,TRUE
Bradley Horn,34.59,57.39444444,28.31555556,2738.702222,52448.97889,514079.1311,4.666666667,10.77777778,20.44444444,25.11111111,30.95130396,TRUE,TRUE,TRUE,-3.333679799,3.837803047,-3.009061094,1.069627063,0.565758156,-1.070196152,4.1628543,3.328272851,7.500839398,-3.073212102,30.95130396,TRUE,TRUE
Yolanda Wilson,42.49,55.25714286,47.19428571,2207.624286,53503.59143,259829.7357,4.285714286,8.142857143,15.28571429,22.71428571,30.88104118,TRUE,TRUE,TRUE,-0.908352489,3.14574975,4.866224618,-1.954077242,0.87394807,-7.728301999,2.803785184,-2.415783116,-1.477855626,-4.70696308,30.88104118,TRUE,TRUE
Melissa Harris,29.04142857,26.91142857,39.66714286,2029.661429,47141.70714,392211.9571,2.285714286,9,15.42857143,24.14285714,30.85095623,TRUE,TRUE,TRUE,-5.037110409,-6.032526788,1.726267635,-2.967312815,-0.985188345,-4.261568711,-4.331327674,-0.54723479,-1.229214841,-3.733204219,30.85095623,TRUE,TRUE
Kelsey Reed,51.9975,41.36625,37.805,3134.32,60369.125,536969.78,1.5,6.25,12.75,30,30.81215335,TRUE,TRUE,TRUE,2.010482877,-1.352089137,0.949472431,3.322085874,2.880266152,-0.470751804,-7.134407726,-6.542160672,-5.891229565,0.25920711,30.81215335,TRUE,TRUE
